"Directory","Assembly Name","Assembly Version","Referencing Assembly","Severity","ProblemId","Description","Remediation"
"Az.Resources","Microsoft.VisualStudio.TestPlatform.ObjectModel","15.0.0.0","Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","0","3000","Missing assembly Microsoft.VisualStudio.TestPlatform.ObjectModel referenced from Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","xunit.abstractions","2.0.0.0","Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","0","3000","Missing assembly xunit.abstractions referenced from Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Moq","4.7.145.0","Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","0","3000","Missing assembly Moq referenced from Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.Azure.Test.HttpRecorder","1.0.0.0","Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","0","3000","Missing assembly Microsoft.Azure.Test.HttpRecorder referenced from Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.Rest.ClientRuntime.Azure.TestFramework","1.0.0.0","Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","0","3000","Missing assembly Microsoft.Rest.ClientRuntime.Azure.TestFramework referenced from Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","System.Net.ServicePoint","4.0.1.0","Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","0","3000","Missing assembly System.Net.ServicePoint referenced from Microsoft.Azure.PowerShell.ScenarioTest.ResourceManager","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.VisualStudio.TestPlatform.ObjectModel","15.0.0.0","Microsoft.Azure.PowerShell.TestFx","0","3000","Missing assembly Microsoft.VisualStudio.TestPlatform.ObjectModel referenced from Microsoft.Azure.PowerShell.TestFx","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.Rest.ClientRuntime.Azure.TestFramework","1.0.0.0","Microsoft.Azure.PowerShell.TestFx","0","3000","Missing assembly Microsoft.Rest.ClientRuntime.Azure.TestFramework referenced from Microsoft.Azure.PowerShell.TestFx","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.Azure.Test.HttpRecorder","1.0.0.0","Microsoft.Azure.PowerShell.TestFx","0","3000","Missing assembly Microsoft.Azure.Test.HttpRecorder referenced from Microsoft.Azure.PowerShell.TestFx","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","xunit.abstractions","2.0.0.0","Microsoft.Azure.PowerShell.TestFx","0","3000","Missing assembly xunit.abstractions referenced from Microsoft.Azure.PowerShell.TestFx","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Mono.Posix.NETStandard","1.0.0.0","Microsoft.WindowsAzure.Storage.DataMovement","0","3000","Missing assembly Mono.Posix.NETStandard referenced from Microsoft.WindowsAzure.Storage.DataMovement","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","xunit.abstractions","2.0.0.0","xunit.runner.reporters.netcoreapp10","0","3000","Missing assembly xunit.abstractions referenced from xunit.runner.reporters.netcoreapp10","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","xunit.abstractions","2.0.0.0","xunit.runner.utility.netcoreapp10","0","3000","Missing assembly xunit.abstractions referenced from xunit.runner.utility.netcoreapp10","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","System.Reflection.TypeExtensions","4.1.0.0","xunit.runner.utility.netcoreapp10","0","3000","Missing assembly System.Reflection.TypeExtensions referenced from xunit.runner.utility.netcoreapp10","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.VisualStudio.TestPlatform.ObjectModel","15.0.0.0","xunit.runner.visualstudio.dotnetcore.testadapter","0","3000","Missing assembly Microsoft.VisualStudio.TestPlatform.ObjectModel referenced from xunit.runner.visualstudio.dotnetcore.testadapter","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","xunit.abstractions","2.0.0.0","xunit.runner.visualstudio.dotnetcore.testadapter","0","3000","Missing assembly xunit.abstractions referenced from xunit.runner.visualstudio.dotnetcore.testadapter","Ensure that the assembly is included in the Wix file or directory"
