module,sub_module,v_autorest,GA,Status,custom,export
Alb,Alb.Autorest,v4,False,,2,14
AppComplianceAutomation,AppComplianceAutomation.Autorest,v4,False,,16,15
ArcGateway,ArcGateway.Autorest,v4,False,,4,6
Astro,Astro.Autorest,v4,False,,5,6
Chaos,Chaos.Autorest,v4,False,,2,24
Communication,EmailService.Autorest,v4,False,,2,16
Communication,EmailServicedata.Autorest,v4,False,,2,4
ComputeFleet,ComputeFleet.Autorest,v4,False,,2,7
ConnectedVMware,ConnectedVMware.Autorest,v4,False,,2,40
CustomLocation,CustomLocation.Autorest,v4,False,,2,13
DeviceRegistry,DeviceRegistry.Autorest,v4,False,,2,11
EdgeZones,EdgeZones.Autorest,v4,False,,2,5
Fabric,Fabric.Autorest,v4,False,,2,10
FirmwareAnalysis,FirmwareAnalysis.Autorest,v4,False,,2,18
Fleet,Fleet.Autorest,v4,False,,2,23
HdInsightOnAks,HdInsightOnAks.Autorest,v4,False,,6,40
Informatica,Informatica.Autorest,v4,False,,2,15
KubernetesRuntime,KubernetesRuntime.Autorest,v4,False,,7,27
ManagedNetworkFabric,ManagedNetworkFabric.Autorest,v4,False,,2,64
Marketplace,Marketplace.Autorest,v4,False,,2,31
Mdp,Mdp.Autorest,v4,False,,2,8
NeonPostgres,NeonPostgres.Autorest,v4,False,,2,6
NewRelic,NewRelic.Autorest,v4,False,,4,27
PaloAltoNetworks,PaloAltoNetworks.Autorest,v4,False,,2,37
Quota,Quota.Autorest,v4,False,,2,9
Sphere,Sphere.Autorest,v4,False,,2,32
StandbyPool,StandbyPool.Autorest,v4,False,,2,12
StorageAction,StorageAction.Autorest,v4,False,,2,12
Terraform,Terraform.Autorest,v4,False,,2,6
VMware,VMware.Autorest,v4,False,,13,51
AnalysisServices,,,True,,0,0
ApiManagement,,,True,,0,0
Automation,,,True,,0,0
Batch,,,True,,0,0
Billing,,,True,,0,0
CognitiveServices,,,True,,0,0
CosmosDB,,,True,,0,0
DataBoxEdge,,,True,,0,0
DataFactory,,,True,,0,0
DataLakeAnalytics,,,True,,0,0
DataLakeStore,,,True,,0,0
DataShare,,,True,,0,0
DevCenter,,,True,,0,0
DevTestLabs,,,True,,0,0
FrontDoor,,,True,,0,0
HDInsight,,,True,,0,0
IotHub,,,True,,0,0
LogicApp,,,True,,0,0
MachineLearning,,,True,,0,0
Maintenance,,,True,,0,0
Media,,,True,,0,0
Network,,,True,,0,0
NotificationHubs,,,True,,0,0
OperationalInsights,,,True,,0,0
PolicyInsights,,,True,,0,0
PowerBIEmbedded,,,True,,0,0
PrivateDns,,,True,,0,0
RecoveryServices,,,True,,0,0
RedisCache,,,True,,0,0
ServiceFabric,,,True,,0,0
Sql,,,True,,0,0
StorageSync,,,True,,0,0
TrafficManager,,,True,,0,0
Accounts,,,False,,0,0
Blueprint,,,False,,0,0
CodeSigning,,,False,,0,0
ComputeSchedule,,,False,,0,0
DeviceProvisioningServices,,,False,,0,0
helpers,,,False,,0,0
HPCCache,,,False,,0,0
IotCentral,,,False,,0,0
lib,,,False,,0,0
ManagementPartner,,,False,,0,0
NetAppFiles,,,False,,0,0
Search,,,False,,0,0
shared,,,False,,0,0
Ssh,,,False,,0,0
