"Module","Cmdlet","Example","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"NetworkFunction","Remove-AzNetworkFunctionCollectorPolicy","2","MissingExampleOutput","5045","1","Output of the example is missing.","NetworkFunction\help\Remove-AzNetworkFunctionCollectorPolicy.md","Add output for the example. Remove any placeholders."
"NetworkFunction","Remove-AzNetworkFunctionCollectorPolicy","2","MissingExampleDescription","5046","1","Description of the example is missing.","NetworkFunction\help\Remove-AzNetworkFunctionCollectorPolicy.md","Add description for the example. Remove any placeholders."
"NetworkFunction","Update-AzNetworkFunctionAzureTrafficCollectorTag","1","MissingExampleTitle","5043","1","Title of the example is missing.","NetworkFunction\help\Update-AzNetworkFunctionAzureTrafficCollectorTag.md","Add title for the example. Remove any placeholders."
"NetworkFunction","Update-AzNetworkFunctionAzureTrafficCollectorTag","1","MissingExampleCode","5044","1","Code of the example is missing.","NetworkFunction\help\Update-AzNetworkFunctionAzureTrafficCollectorTag.md","Add code for the example. Remove any placeholders."
"NetworkFunction","Update-AzNetworkFunctionAzureTrafficCollectorTag","1","MissingExampleOutput","5045","1","Output of the example is missing.","NetworkFunction\help\Update-AzNetworkFunctionAzureTrafficCollectorTag.md","Add output for the example. Remove any placeholders."
"NetworkFunction","Update-AzNetworkFunctionAzureTrafficCollectorTag","1","MissingExampleDescription","5046","1","Description of the example is missing.","NetworkFunction\help\Update-AzNetworkFunctionAzureTrafficCollectorTag.md","Add description for the example. Remove any placeholders."
"NetworkFunction","Update-AzNetworkFunctionAzureTrafficCollectorTag","2","MissingExampleTitle","5043","1","Title of the example is missing.","NetworkFunction\help\Update-AzNetworkFunctionAzureTrafficCollectorTag.md","Add title for the example. Remove any placeholders."
"NetworkFunction","Update-AzNetworkFunctionAzureTrafficCollectorTag","2","MissingExampleCode","5044","1","Code of the example is missing.","NetworkFunction\help\Update-AzNetworkFunctionAzureTrafficCollectorTag.md","Add code for the example. Remove any placeholders."
"NetworkFunction","Update-AzNetworkFunctionAzureTrafficCollectorTag","2","MissingExampleOutput","5045","1","Output of the example is missing.","NetworkFunction\help\Update-AzNetworkFunctionAzureTrafficCollectorTag.md","Add output for the example. Remove any placeholders."
"NetworkFunction","Update-AzNetworkFunctionAzureTrafficCollectorTag","2","MissingExampleDescription","5046","1","Description of the example is missing.","NetworkFunction\help\Update-AzNetworkFunctionAzureTrafficCollectorTag.md","Add description for the example. Remove any placeholders."
