Validator,Assembly,Target,Severity,Description,Remediation
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Set-AzureRmStorageAccount","0","The output type Microsoft.Azure.Management.Storage.Models.StorageAccount for cmdlet Set-AzureRmStorageAccount uses custom JSON serialization, which will make scripting difficult and break piping scenarios","Add a new display type for cmdlet output (for example PSStorageAccount), then add an output format for the new type in Microsoft.Azure.Commands.Management.Storage.format.ps1xml"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Set-AzureRmStorageAccount","3","The output type Microsoft.Azure.Management.Storage.Models.StorageAccount for cmdlet Set-AzureRmStorageAccount has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmStorageAccount"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Get-AzureRmStorageAccountNameAvailability","1","Missing output format for cmdlet output type Microsoft.Azure.Management.Storage.Models.CheckNameAvailabilityResult","Add an output format for type Microsoft.Azure.Management.Storage.Models.CheckNameAvailabilityResult in Microsoft.Azure.Commands.Management.Storage.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Get-AzureRmStorageAccountNameAvailability","3","The output type Microsoft.Azure.Management.Storage.Models.CheckNameAvailabilityResult for cmdlet Get-AzureRmStorageAccountNameAvailability has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmStorageAccountNameAvailability"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Get-AzureRmStorageUsage","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Management.Storage.Models.PSUsage","Add an output format for type Microsoft.Azure.Commands.Management.Storage.Models.PSUsage in Microsoft.Azure.Commands.Management.Storage.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Get-AzureRmStorageUsage","3","The output type Microsoft.Azure.Commands.Management.Storage.Models.PSUsage for cmdlet Get-AzureRmStorageUsage has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmStorageUsage"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Add-AzureRmAccount","3","The output type Microsoft.Azure.Commands.Models.PSAzureProfile for cmdlet Add-AzureRmAccount has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Add-AzureRmAccount"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Get-AzureRmContext","3","The output type Microsoft.Azure.Commands.Models.PSAzureContext for cmdlet Get-AzureRmContext has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmContext"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Set-AzureRmContext","3","The output type Microsoft.Azure.Commands.Models.PSAzureContext for cmdlet Set-AzureRmContext has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmContext"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Profile","Add-AzureRmEnvironment","3","The output type Microsoft.Azure.Commands.Models.PSAzureEnvironment for cmdlet Add-AzureRmEnvironment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Add-AzureRmEnvironment"
