AssemblyFileName","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","1050","The parameter set 'Default' for cmdlet 'New-AzManagedServicesDefinition' has been removed.","Add parameter set 'Default' back to cmdlet 'New-AzManagedServicesDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","1050","The parameter set 'ByPlan' for cmdlet 'New-AzManagedServicesDefinition' has been removed.","Add parameter set 'ByPlan' back to cmdlet 'New-AzManagedServicesDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","1050","The parameter set 'ByAuthorization' for cmdlet 'New-AzManagedServicesDefinition' has been removed.","Add parameter set 'ByAuthorization' back to cmdlet 'New-AzManagedServicesDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.NewAzureRmManagedServicesDefinition","New-AzManagedServicesDefinition","0","1050","The parameter set '__AllParameterSets' for cmdlet 'New-AzManagedServicesDefinition' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'New-AzManagedServicesDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServcicesAssignment","Remove-AzManagedServicesAssignment","0","2020","The cmdlet 'Remove-AzManagedServicesAssignment' no longer supports the type 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationAssignment' for parameter 'InputObject'.","Change the type for parameter 'InputObject' back to 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationAssignment'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServcicesAssignment","Remove-AzManagedServicesAssignment","0","2020","The cmdlet 'Remove-AzManagedServicesAssignment' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServcicesAssignment","Remove-AzManagedServicesAssignment","0","2010","The cmdlet 'Remove-AzManagedServicesAssignment' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServcicesAssignment","Remove-AzManagedServicesAssignment","0","2010","The cmdlet 'Remove-AzManagedServicesAssignment' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServicesDefinition","Remove-AzManagedServicesDefinition","0","2020","The cmdlet 'Remove-AzManagedServicesDefinition' no longer supports the type 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationDefinition' for parameter 'InputObject'.","Change the type for parameter 'InputObject' back to 'Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Models.PSRegistrationDefinition'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServicesDefinition","Remove-AzManagedServicesDefinition","0","2020","The cmdlet 'Remove-AzManagedServicesDefinition' no longer supports the type 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer' for parameter 'DefaultProfile'.","Change the type for parameter 'DefaultProfile' back to 'Microsoft.Azure.Commands.Common.Authentication.Abstractions.Core.IAzureContextContainer'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServicesDefinition","Remove-AzManagedServicesDefinition","0","2010","The cmdlet 'Remove-AzManagedServicesDefinition' no longer supports the alias 'AzContext' for parameter 'DefaultProfile'.","Add the alias 'AzContext' back to parameter 'DefaultProfile'."
"Az.ManagedServices","Microsoft.Azure.PowerShell.Cmdlets.ManagedServices.Commands.RemoveAzureRmManagedServicesDefinition","Remove-AzManagedServicesDefinition","0","2010","The cmdlet 'Remove-AzManagedServicesDefinition' no longer supports the alias 'AzureRmContext' for parameter 'DefaultProfile'.","Add the alias 'AzureRmContext' back to parameter 'DefaultProfile'."
"Az.ApplicationInsights","New-AzApplicationInsightsWebTestGeolocationObject","New-AzApplicationInsightsWebTestGeolocationObject","1","8100","New-AzApplicationInsightsWebTestGeolocationObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.ApplicationInsights","New-AzApplicationInsightsWebTestHeaderFieldObject","New-AzApplicationInsightsWebTestHeaderFieldObject","1","8100","New-AzApplicationInsightsWebTestHeaderFieldObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
  
