"Module","Cmdlet","Example","Line","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"Az.NetAppFiles","Restore-AzNetAppFilesReplication","1","1","Invalid_Cmdlet","5000","1","Restore-AzNetAppFilesReplication is not a valid command name.","Restore-AzNetAppFilesReplication -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyVolume' -SourceVolumeId 'volumeResourceId'","Check the spell of Restore-AzNetAppFilesReplication."
"Az.NetAppFiles","Restore-AzNetAppFilesSnapshotFile","1","1","Invalid_Cmdlet","5000","1","Restore-AzNetAppFilesSnapshotFile is not a valid command name.","Restore-AzNetAppFilesSnapshotFile -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyVolume' -Name 'MySnapshotName' -FilePath '/dir1/customer1.db' -DestinationPath '/AVSdataStore'","Check the spell of Restore-AzNetAppFilesSnapshotFile."
"Az.NetAppFiles","Restore-AzNetAppFilesVolume","1","1","Invalid_Cmdlet","5000","1","Restore-AzNetAppFilesVolume is not a valid command name.","Restore-AzNetAppFilesVolume -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -PoolName 'MyPool' -VolumeName 'MyVolume' -SnapshotId '7d6e4069-6c78-6c61-7bf6-c60968e45fbf'","Check the spell of Restore-AzNetAppFilesVolume."
"Az.NetAppFiles","Resume-AzNetAppFilesReplication","1","1","Invalid_Cmdlet","5000","1","Resume-AzNetAppFilesReplication is not a valid command name.","Resume-AzNetAppFilesReplication -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -Name 'MyDestinationAnfVolume'","Check the spell of Resume-AzNetAppFilesReplication."
"Az.NetAppFiles","Set-AzNetAppFilesAccount","1","1","Invalid_Cmdlet","5000","1","Set-AzNetAppFilesAccount is not a valid command name.","Set-AzNetAppFilesAccount -ResourceGroupName 'MyRG' -Location 'westus2' -Name 'MyAnfAccount'","Check the spell of Set-AzNetAppFilesAccount."
"Az.NetAppFiles","Set-AzNetAppFilesBackupPolicy","1","1","Invalid_Cmdlet","5000","1","Set-AzNetAppFilesBackupPolicy is not a valid command name.","Set-AzNetAppFilesBackupPolicy -ResourceGroupName 'MyRG' -Location 'westus2' -AccountName 'MyAccount' -Name 'MyBackupPolicy' -Tag @{'tag1' = 'tagValue'} -Enabled -DailyBackupsToKeep 1 -WeeklyBackupsToKeep 2 -MonthlyBackupsToKeep 2","Check the spell of Set-AzNetAppFilesBackupPolicy."
"Az.NetAppFiles","Set-AzNetAppFilesBackupVault","1","1","Invalid_Cmdlet","5000","1","New-AzNetAppFilesBackupVault is not a valid command name.","New-AzNetAppFilesBackupVault -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -Name 'MyBackupVaultName' -Tag @{'tag1' = 'tagValue'}","Check the spell of New-AzNetAppFilesBackupVault."
"Az.NetAppFiles","Set-AzNetAppFilesPool","1","1","Invalid_Cmdlet","5000","1","Set-AzNetAppFilesPool is not a valid command name.","Set-AzNetAppFilesPool -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -Name 'MyAnfPool' -Location 'westus2' -PoolSize 4398046511104 -ServiceLevel 'Premium' -QosType 'Auto'","Check the spell of Set-AzNetAppFilesPool."
"Az.NetAppFiles","Set-AzNetAppFilesSnapshotPolicy","1","22","Invalid_Cmdlet","5000","1","Set-AzNetAppFilesSnapshotPolicy is not a valid command name.","Set-AzNetAppFilesSnapshotPolicy -ResourceGroupName 'MyRG' -Location 'westus2' -AccountName 'MyAccount' -Name 'MySnapshotPolicy' -Enabled -HourlySchedule $hourlySchedule -DailySchedule $dailySchedule -WeeklySchedule $weeklySchedule -MonthlySchedule $monthlySchedule","Check the spell of Set-AzNetAppFilesSnapshotPolicy."
"Az.NetAppFiles","Set-AzNetAppFilesVolumePool","1","1","Invalid_Cmdlet","5000","1","Set-AzNetAppFilesVolumePool is not a valid command name.","Set-AzNetAppFilesVolumePool -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -Name 'MyAnfVolume' -NewPoolResourceId 7d6e4069-6c78-6c61-7bf6-c60968e45fbf","Check the spell of Set-AzNetAppFilesVolumePool."
